id,type,content,product,price
0,Luxury Product,Bold and abundant advertising,Chanel classic flap bag,2000
1,Everyday Product,Massive advertising,Zojirushi rice cooker,30
2,Luxury Product,"Innovative design, leading the trend",Hermes silk scarf,1000
3,Everyday Product,"Enhance quality of life, enjoy happiness",Philips smart light bulb,100
4,Luxury Product,Luxurious enjoyment at your fingertips,LV limited edition handbag,1500
5,Everyday Product,"Healthy living, happy every day",Panasonic noodle maker,300
6,Luxury Product,"Unique style, showcasing personality",Dior lipstick,4000
7,Everyday Product,"Practical good stuff, making life more convenient",Xiaomi smart socket,30
8,Luxury Product,"Exquisite craftsmanship, showcasing taste",Montblanc pen,7000
9,Everyday Product,"Delicious cuisine, satisfying taste buds",Midea microwave oven,157
10,Luxury Product,"Ultimate enjoyment, all at your side",Hermes men's watch,5483
11,Everyday Product,"Comfortable environment, relaxing body and mind",Haier air purifier,45
12,Luxury Product,"Fashion trend, leading the times",Hermes silk scarf,13453
13,Everyday Product,"Warm home, creating a warm atmosphere",Midea electric heater,200
14,Luxury Product,"Unique charm, showcasing noble status",LV men's handbag,2000
15,Everyday Product,"Healthy exercise, maintaining vitality",Huawei smart bracelet,400
16,Luxury Product,"Luxury quality, creating extraordinary experience",GUCCI women's handbag,4000
17,Everyday Product,"Smart technology, making life more intelligent",Xiaomi smart door lock,300
18,Luxury Product,"Exquisite materials, showcasing brand value",Hermes leather gloves,1000
19,Everyday Product,"Environmental-friendly living, building a beautiful home",Midea air purifier,350
