mid,poster,description,content,timestamp
4978926449595976,车圈大事件,关注行业动态车圈大事，欢迎与我互粉,#未来两年是高端纯电市场爆发之年#12月14日的蔚来媒体沟通会上，蔚来汽车李斌表示，2024年、2025年将是高端纯电市场爆发之年。过去两年由于基础设施没有全部完善，所以增程、插混等车型更占优势，但随着锂价的下滑，为纯电市场带来很大优势。  ,Thu Dec 14 19:07:12 +0800 2023
4988417803551392,领克汽车,想做最宠粉的那个汽车蓝V~,[心]领克03【新年】礼遇，错过后悔！！[羞嗒嗒]540度全景影像+AR-HUD显示系统！[赞啊]T5动力+254匹马力，百公里加速6.9s，[给力]首任车主享终身质保，【限时】2年6万0息👉 ,Tue Jan 09 23:42:27 +0800 2024
4990524626832780,中国劲酒,给生活加把劲! 申明：1、微博部分文章信息来源于网络转载是出于传递更多信息之目的，致力于提供合理、准确、完整的资讯信息，但不保证信息的合理性、准确性和完整性，微博所有信息仅供参考，不做交易和服务的根据，如自行使用本网资料发生偏差，本站概不负责，亦不负任何法律责任。 2、如无意中侵犯了哪个媒体或个人的知识产权，或文章作者及编辑认为其作品不宜上网供大家浏览，或不应无偿使用，请及时在此博客留言或私信通知我们，本微博将迅速删除，避免给双方造成不必要的经济损失。,祖孙三代人在一起，天再冷，也挡不住团圆的暖意融融。中国劲酒龙年贺岁大片全网上线，让这份温暖的祝福和祈愿，陪你一起过个好年！现在关注@中国劲酒 ，带话题 #有大潘的年够劲##健康中国年劲酒贺团圆# 转评本博，为团圆再添一份温暖~ 抽【10位】劲友，每人送出【520ml中国劲酒】*1瓶。↓↓↓戳视频一起打卡【劲友家】小程序，带上劲酒的新年贺礼一起回家吧！ ,Mon Jan 15 19:14:13 +0800 2024
4988997628331171,一只快乐小蝴蝶,贪恋逃避一切的短暂快乐,23岁103分。。。[苦涩][苦涩]第55题确实难到我了，有做出来的吗？,Thu Jan 11 14:06:28 +0800 2024
4990395861172430,无敌幸运星--,,INFP=内向+直觉+情感+知觉！！！这样分析确实更清晰[思考][思考][思考],Mon Jan 15 10:42:32 +0800 2024
4990043565852412,没头脑哦呦,没有期待的日子反而顺顺利利,我也是！一日为蝶终身为蝶！！[哈哈][哈哈][哈哈]//@一只快乐小蝴蝶:两年了测了n次还是infp ……永远的蝶[馋嘴][馋嘴],Sun Jan 14 11:22:39 +0800 2024
4966486054538910,高情商嘴替,分享情商口才正能量，做一个自信独立有口才有情商的人！,情商决定了我们怎样才能充分而又完善地发挥我们所拥有的各种能力。[并不简单]情绪智慧，指人的乐观与悲观，急躁与冷静，大胆与恐惧，沉思与直觉等情绪反应的程度，你了解你的情商水平吗？ ,Fri Nov 10 11:13:31 +0800 2023
4994024285147669,海氏海诺官方微博,海氏海诺集团致力于ⅠⅡⅢ类医疗器械的研发生产和销售。企业己通过德国莱茵公司CE认证、国际通用的医疗产品标准最高等级质量体系认证。,新年贴“BUFF”🐲龙气加持一整年！快来吸吸欧气，解锁你的新年好运签📮新年新气象，健康美好生活和#海氏海诺# 一起创✨#蓝朋友新春狂欢节# 点击记得！！评论区分享你截到的“好运buff”，留言满300再加送出同款好运礼一份❗️[礼物] ,Thu Jan 25 11:00:37 +0800 2024
4985734760759604,新浪证券,新浪证券全方位报道中国证券市场，聚焦制度发展，点评行情走势，围观股市众生百态。主打产品：新浪财经APP。爆料、投稿请发私信或邮件ziben20@sina.cn,#A股2024年首个交易日# 【小调查：#兴业银行大跌#9%能抄底吗？】今日早盘，$兴业银行 sh601166$ 股价大幅回撤，开盘竞价低开约8%，此后持续低位震荡。2023年最后一个交易日，兴业银行收盘集合竞价股价异动，收盘封于涨停，全天成交7.63亿元，其中收盘竞价成交2.16亿元。上交所盘后通报称，兴业银行收盘集合竞价阶段股票价格大幅波动，经初步核查，为某投资者以明显偏离股票最新成交价的价格大笔申报成交所致。上交所将对相关情况作进一步深入核查，并根据核查结果采取相应措施。 ,Tue Jan 02 14:00:59 +0800 2024
4994174535340491,电动扒士,新浪汽车旗下新能源主账号,1月25日晚，全新BMW 5系车型正式上市，一口气12款车型，售价43.99-63.99万元。亮点太多，信息量爆炸，咱们直接进入#新车划重点# ，5分钟给大家整理一波！【价格】●5系长轴距版共推出6款车型，2款525Li车型售价43.99万元，4款530Li车型售价48.59-52.59万元；●i5长轴距版共推出4款车型，均为eDrive 35L，售价43.99-46.59万元；●5系标准轴距版推出1款525i车型，售价43.99万元；●i5 M60 xDrive车型售价63.99万元。【外观】●燃油、电动采用高度统一的设计，除蓝色点缀、轮毂和首尾标识以外，二者不易区分（燃油采用隐藏式排气布局）；●环形光耀格栅辨识度极高，“天使眼”大灯更加精简，霍夫迈斯特弯角上的“5”字光耀标识为中国市场专属；●油电均提供两种外观套装，豪华套装和M运动套装；●最为独特的当属i5 M60 xDrive，纯黑色套件遍布车身，彰显性能。【尺寸】●5系长轴距版和i5长轴距版车身尺寸一致，长宽高分别为5175/1900/1520mm，轴距达3105mm，官方称为是“尺寸最大的5系”；●5系标准轴距版长宽高分别为5060/1900/1515mm，轴距为2995mm；●i5 M60 xDrive长宽高分别为5060/1900/1505mm，轴距为2995mm。【内饰&配置&智舱】●内饰上油电同样采用高度统一的设计，以“Tech Magic”（灵感科技）为理念，一体式曲面屏、环抱式光带、水晶质感中控键等营造出层级丰富的视觉体验；●12.3英寸数字仪表盘与14.9英寸中控屏连为一体，分辨率均达到200ppi，iDrive操作系统采用“地图+浮窗”的零层级设计，引入了微信、爱奇艺、腾讯视频等本土应用；●长轴版车型可选31英寸后排悬浮式巨幕，分辨率达7680*2160，支持16:9、21:9、32:9多种比例显示并可更改主画面位置，内置有华为应用商店；●全景星轨天幕内嵌有氛围灯带，相较上代可视面积提升30%；●根据车型版本和选配不同，提供Harman/Kardon高端音响系统和Bowers & Wilkins环绕式音响系统可选。【动力】●5系燃油版•525Li、525i最大功率190Ps，峰值扭矩310N·m，匹配8AT变速箱；•530Li最大功率258Ps，峰值扭矩400N·m，匹配8AT变速箱，并增加了48V轻混系统；●i5 eDrive 35L后置单电机，最大功率210kW，峰值扭矩410N·m（可通过拨片激活Sport Boost功能，10s内获得额外30N·m）；●i5 M60 xDrive前后双电机四驱，最大功率442kW，峰值扭矩795N·m，零百加速3.8s。【操控】●采用双叉臂双球节前悬架与多连杆后悬架的独立悬架组合；● i5对底盘进行了结构性加强，并在后桥应用了空气弹簧；●采用BMW第9代横向动力学管理系统，提升转弯表现；●采用BMW第2代集成式制动系统，全力制动建压时间仅需150ms，制动距离相较传统制动可以缩减20%；【续航&补能】●i5 eDrive 35L，标准版车型CLTC续航里程567km，尊享型CLTC续航里程536km，10%-80%快充时间均为32mins；●i5 M60 xDrive，CLTC续航里程570km，10%-80%快充时间30mins。【智驾】●配备带视线确认的自动变道功能，经驾驶者视线确认后，车辆能够在60-180km/h的时速范围内自动超车；●全新BMW 5系长轴距版目前仍为L2+级智驾，在技术上已具备拓展至L3级的能力。【环保】●生产过程中，全新BMW 5系采用100%绿电，并使用了无稀土励磁电机、再生铝制轮毂；●退役动力电池可回收及梯次利用，用户还可享受绿色充电和零售服务；●内饰使用了大量高品质环保内饰材质——Veganza，不含动物来源成分，耐磨、健康、舒适。#全新宝马5系售价43.99万元起#,Thu Jan 25 20:57:39 +0800 2024
